code,name,theme1,theme2,theme3,theme4,theme5,theme6,theme7,theme8,theme9,theme10,theme11,theme12,theme13,theme14,theme15,theme16,theme17,theme18,theme19,theme20,theme21,theme22,theme23,theme24
281820,케이씨텍,3D 낸드(NAND),반도체 재료/부품,LCD장비,반도체 장비,,,,,,,,,,,,,,,,,,,,
319660,피에스케이,3D 낸드(NAND),시스템반도체,반도체 장비,,,,,,,,,,,,,,,,,,,,,
196700,웹스,4대강 복원,자동차부품,DMZ 평화공원,,,,,,,,,,,,,,,,,,,,,
001840,이화공영,4대강 복원,DMZ 평화공원,건설 중소형,,,,,,,,,,,,,,,,,,,,,
026150,특수건설,4대강 복원,정치/인맥(이낙연),철도,해저터널(지하화/지하도로 등),GTX(수도권 광역급행철도),,,,,,,,,,,,,,,,,,,
043910,자연과환경,4대강 복원,조림사업,DMZ 평화공원,수자원(양적/질적 개선),,,,,,,,,,,,,,,,,,,,
060560,홈센타홀딩스,4대강 복원,시멘트/레미콘,아스콘(아스팔트 콘크리트),,,,,,,,,,,,,,,,,,,,,
010960,삼호개발,4대강 복원,건설 중소형,,,,,,,,,,,,,,,,,,,,,,
046940,우원개발,4대강 복원,건설 중소형,정치/인맥(이낙연),철도,해저터널(지하화/지하도로 등),,,,,,,,,,,,,,,,,,,
029960,코엔텍,4대강 복원,태풍 및 장마,폐기물처리,,,,,,,,,,,,,,,,,,,,,
101670,코리아에스이,4대강 복원,재난/안전(지진 등),DMZ 평화공원,,,,,,,,,,,,,,,,,,,,,
003010,혜인,4대강 복원,건설기계,방위산업/전쟁 및 테러,태양광에너지,환율하락 수혜,,,,,,,,,,,,,,,,,,,
065440,이루온,5G(5세대 이동통신),모바일솔루션(스마트폰),정치/인맥(최재형),삼성페이,SNS(소셜네트워크서비스),,,,,,,,,,,,,,,,,,,
017670,SK텔레콤,5G(5세대 이동통신),메타버스(Metaverse),백신여권,블록체인,자율주행차,통신,4차산업 수혜주,모바일콘텐츠(스마트폰/태블릿PC),스마트홈(홈네트워크),클라우드 컴퓨팅,RFID(NFC 등),,,,,,,,,,,,,
